zipcode,price
75005,$40.00
75010,$70.00
75002,$169.00
75007.0,$29.00
75002.0,$65.00
75116.0,$160.00
75004,$110.00
75003.0,$100.00
75013.0,$70.00
75009,$99.00
75016,$300.00
75011.0,$57.00
75018.0,$84.00
75004,$68.00
,$33.00
75018.0,$75.00
75011,$75.00
75020,$60.00
75014,$71.00
75015,$115.00
75017.0,$70.00
75017.0,$70.00
75018,$65.00
75019,$60.00
75007.0,$175.00
75020,$80.00
75004,$115.00
75010.0,$99.00
75018.0,$100.00
75020,$90.00
75014.0,$80.00
75004.0,$59.00
75009.0,$90.00
75015.0,$180.00
75116,$75.00
75018.0,$80.00
75006,$135.00
75002.0,$165.00
75003,$115.00
75007.0,$90.00
75018.0,$80.00
75020,$45.00
75015.0,$175.00
,$30.00
75017.0,$80.00
75018,$300.00
75015.0,$54.00
75020,$50.00
75019.0,$70.00
75011.0,$60.00
75011,$80.00
75013.0,$35.00
75018.0,$45.00
75020,$40.00
75013.0,$58.00
75018,$45.00
75017.0,$70.00
75004,$260.00
75017,$40.00
75012.0,$90.00
75011.0,$40.00
75015.0,$45.00
75116,$88.00
75010.0,$75.00
75014.0,$65.00
75018.0,$150.00
75009.0,$45.00
